timestamp,worker_id,attempt,start_date,days,status,message
2025-12-14T17:24:35.781668,1,1,2025-12-14,4,print,[parser-1] attempt 1: starting range 2025-12-14 -> 2025-12-17
2025-12-14T17:24:35.783684,1,1,2025-12-14,4,start,starting range 2025-12-14 -> 2025-12-17
2025-12-14T17:24:35.784673,1,1,2025-12-14,4,print,[trace] create_browser_options start
2025-12-14T17:24:35.785676,1,1,2025-12-14,4,print,[trace] get_connection start
2025-12-14T17:24:35.859021,1,1,2025-12-14,4,print,[trace] get_connection yield connection
2025-12-14T17:24:35.860014,1,1,2025-12-14,4,print,[trace] PostgresPriceRepository.__init__ start
2025-12-14T17:24:46.109560,1,1,2025-12-14,4,print,[trace] SeleniumHotelGateway.__init__ start
2025-12-14T17:24:46.118560,1,1,2025-12-14,4,print,[trace] SeleniumHotelGateway._open_site start
2025-12-14T17:24:46.122719,1,1,2025-12-14,4,print,[trace] find_btn start
2025-12-14T17:25:15.543200,1,1,2025-12-14,4,print,"Нашел рамку ""block--content"""
2025-12-14T17:25:15.583027,1,1,2025-12-14,4,print,"Нашел рамку ""tl-booking-form"""
2025-12-14T17:25:15.853613,1,1,2025-12-14,4,print,Нашел и переключился на iframe
2025-12-14T17:25:18.870041,1,1,2025-12-14,4,print,"Нашел ""page-container"""
2025-12-14T17:25:30.709714,1,1,2025-12-14,4,print,[trace] PriceParsingService.__init__ start
2025-12-14T17:25:30.722501,1,1,2025-12-14,4,print,"[trace] parse_period start start_date=2025-12-14, days=4"
2025-12-14T17:25:30.767021,1,1,2025-12-14,4,print,[trace] parse_period processing date=2025-12-14
2025-12-14T17:25:30.794019,1,1,2025-12-14,4,print,[trace] get_regular_prices_for_date start dt=2025-12-14
2025-12-14T17:25:30.820191,1,1,2025-12-14,4,print,[trace] switch_dates start for date=2025-12-14
2025-12-14T17:25:31.656178,1,1,2025-12-14,4,print,"Нашел элемент ""input_date"""
2025-12-14T17:25:31.985878,1,1,2025-12-14,4,print,"Нашел элемент ""input_btn"""
2025-12-14T17:25:32.106095,1,1,2025-12-14,4,print,"Проскроллил к ""input_btn"""
2025-12-14T17:25:32.288876,1,1,2025-12-14,4,print,"Кликнул на ""input_btn"""
2025-12-14T17:25:32.398726,1,1,2025-12-14,4,print,"Нашел рамку выбора дат ""x-modal__container"""
2025-12-14T17:25:35.402189,1,1,2025-12-14,4,print,[trace] find_dates start
2025-12-14T17:25:41.449190,1,1,2025-12-14,4,print,Нашел список дат для выбора
2025-12-14T17:25:46.450853,1,1,2025-12-14,4,print,"[trace] find_date_btn start dt=2025-12-14, procedure=arrival"
2025-12-14T17:25:48.037378,1,1,2025-12-14,4,print,Кликнул по кнопке заезда
2025-12-14T17:25:48.039380,1,1,2025-12-14,4,print,"[trace] find_date_btn start dt=2025-12-14, procedure=checkout"
2025-12-14T17:25:49.758447,1,1,2025-12-14,4,print,Кликнул по кнопке выезда
2025-12-14T17:25:53.761026,1,1,2025-12-14,4,print,[trace] find_categories start
2025-12-14T17:26:06.166698,1,1,2025-12-14,4,print,На 14.12.2025 найдено: 26 доступных категорий
2025-12-14T17:26:09.194672,1,1,2025-12-14,4,print,Выбрал 1 категорию из 26 найденных
2025-12-14T17:26:09.197282,1,1,2025-12-14,4,print,[trace] check_last_room start
2025-12-14T17:26:09.271133,1,1,2025-12-14,4,print,Переходим в категорию 1 из списка и спим 4 секунды
